Date,Agency,Category,Title,Link
4. May 2026,NMPA-National Medical Products Administration,Post,Announcement of the State Food and Drug Administration on the Issuance of Work Procedures for the Review and Approval of Conditional Marketing Applications for Drugs (no. 41 of 2026),https://www.linkedin.com/feed/update/urn:li:activity:7454408413121388544/
4. May 2026,Swissmedic,Guidance,"Swissmedic Design of sample packages for the general public combined with separate pharmaceutical advertising Minor administrative updates (contact details, links, legal references) and layout adjustments; no major regulatory requirement changes.",https://www.linkedin.com/feed/update/urn:li:activity:745476527840142954/
4. May 2026,Swissmedic,Guidance,Swissmedic Reglement Schweizerische Pharmakopoeegremien Minor formatting (footer/layout) updates only; no substantive regulatory changes.,https://www.linkedin.com/feed/update/urn:li:activity:7454767061383409664/
4. May 2026,Swissmedic,Guidance,Swissmedic Medical Device Software Updated regulatory requirements and economic operator obligations; revised layout in Version 3.0 (21.4.2026).,https://www.linkedin.com/feed/update/urn:li:activity:7454762834217025536/
4. May 2026,Swissmedic,Guidance,Swissmedic Temporary authorisation for human medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7455849434468282368/
4. May 2026,Swissmedic,Guidance,Swissmedic Authorisation in accordance with Art.,https://www.linkedin.com/feed/update/urn:li:activity:7455852823386259456/
4. May 2026,Swissmedic,Guidance,Swissmedic Details required regarding manufacturers of herbal active substances,https://www.linkedin.com/feed/update/urn:li:activity:745585152438390784/
4. May 2026,Swissmedic,Guidance,Swissmedic Authorisation of veterinary medicinal products under Art.,https://www.linkedin.com/feed/update/urn:li:activity:7455854788031967232/
4. May 2026,Swissmedic,Guidance,Swissmedic CH Guide Manufacturer Incident Report (MIR) (Swissmedic MU680_20_815),https://www.linkedin.com/feed/update/urn:li:activity:745585640522297344/
4. May 2026,Swissmedic,Guidance,Swissmedic FAST-Track Pilot Project: Harmonised accelerated procedure between ethics committees and Swissmedic,https://www.linkedin.com/feed/update/urn:li:activity:7455861805513420800/
4. May 2026,Team-NB,Code of Conduct,"Team-NB Code of Conduct for Notified Bodies under MDR/IVDR (Version 5.2, April 2026)",https://www.linkedin.com/feed/update/urn:li:activity:745549878979405048/
4. May 2026,Team-NB,Guidance,Team-NB Clinical Evaluation Based on Non-Clinical Data (MDR Article 61(10)) Version 1 (April 2026),https://www.linkedin.com/feed/update/urn:li:activity:745554409159168000/
4. May 2026,Team-NB,Guidance,Team-NB Best Practice Guidance for the Submission of Technical Documentation under Annex II and III of MDR (EU) 2017/745 (Version 4),https://www.linkedin.com/feed/update/urn:li:activity:7455506567522840576/
4. May 2026,Therapeutic Goods Administration,Guidance,"Manufacturing bacteriophage products in Australia Introduces planned 3-year GMP exemption for small-batch, patient-specific bacteriophage products following 2025 consultation.",https://www.linkedin.com/feed/update/urn:li:activity:7454769363800342528/
4. May 2026,USA Food & Drug Administration FDA,Request For Information,FDA AI-Enabled Optimization of Early-Phase Clinical Trials Pilot Program; Request for Information,https://www.linkedin.com/feed/update/urn:li:activity:7455170971243835392/
4. May 2026,USA Food & Drug Administration FDA,Update,FDA Total Product Life Cycle Advisory Program (TAP),https://www.linkedin.com/feed/update/urn:li:activity:7454411873283768320/
4. May 2026,USA Food & Drug Administration FDA,Update,FDA Benefits of a UDI System,https://www.linkedin.com/feed/update/urn:li:activity:7454410244820189184/
4. May 2026,USA Food & Drug Administration FDA,Update,FDA Coding Resources for Medical Device Reports (MDR) FDA,https://www.linkedin.com/feed/update/urn:li:activity:7455523607159590912/
